logP,apKa1,apKa2,bpKa1,bpKa2,SMILES
5.95,NA,NA,4.81,-1.26,CCN(CC1=CC=CN=C1)C(=O)C2=CC=CC(Cl)=C2[C@]3(C)C(=O)N(CC4=C(OC)C=C(OC)C=C4)C5=CC=C(Cl)C=C35
2.32,NA,NA,7.94,NA,BrC1=CC=C(OC(=O)N2CCN3CCC2CC3)C=C1
0.65,6.99,NA,2,-0.97,CC1=CC(C)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=N1
1.55,6.79,NA,2.13,-0.4,NC1=CC=C(C=C1)S(=O)(=O)NC2=CN=C3C=CC=CC3=N2
5.02,NA,NA,NA,NA,CCCSP(=S)(OCC)OC1=CC=C(SC)C=C1
6.52,10.77,NA,1.6,-1.14,CCC1=C(N(N=C1C(=O)NN2CCCCC2)C3=CC=C(Cl)C=C3Cl)C4=CC=C(Br)C=C4
3.68,3.67,NA,-7.04,NA,CCCCC1(COC(=O)CCC(O)=O)C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3
2.63,NA,NA,8.95,-4.46,NC1=C2CCCCC2=NC3=C1C=CC=C3
6.35,NA,NA,8.76,-7.17,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(OCCN(C)C)C=C2)/C3=CC=CC=C3
3.69,13.85,NA,2.01,-3.3,CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN2C=NC=N2
4.1,13.15,NA,1.32,-3.18,CCC1=NN(C)C(C(=O)NCC2=CC=C(C=C2)C(C)(C)C)=C1Cl
4.37,NA,NA,1.56,-4.12,CCOP(=S)(OC(C)C)OC1=CN=C(N=C1)C(C)(C)C
1.35,15.66,NA,-0.32,-7.07,CNC(=O)N(C)C1=NN=C(S1)C(C)(C)C
5.07,14.77,NA,NA,NA,CNC(=O)OC1=C(C=C(C)C=C1C(C)(C)C)C(C)(C)C
2.48,14.17,15.76,4.18,-2.18,CCNC1=NC(NC(C)(C)C)=NC(Cl)=N1
3.86,18.88,NA,2.05,-4.58,FC(F)C(F)(F)OCC(CN1C=NC=N1)C2=C(Cl)C=C(Cl)C=C2
2.3,NA,NA,-3.68,-4.18,CC(=C)C(=O)OCCOCCOCCOCCOC(=O)C(C)=C
2.33,10.28,NA,4.08,-0.22,N1C2=C(C=CC=C2)N=C1C3=CSC=N3
2.06,NA,NA,1.62,-0.19,ClC1=CC=C(CN\2CCS/C2=N\C#N)C=N1
1.07,NA,NA,0.4,-3.58,CN1COCN(CC2=CN=C(Cl)S2)C1=N[N+]([O-])=O
4.62,NA,NA,3.05,-2.42,COC(=O)C1=C(CC(C)C)C(C2=NCCS2)=C(N=C1C(F)F)C(F)(F)F
3.73,NA,NA,NA,NA,CCN(CC)C(=O)SCC1=CC=C(Cl)C=C1
2.47,NA,NA,0.45,-0.09,CS/C(/C)=N/OC(=O)N(C)SN(C)C(=O)O/N=C(\C)/SC
3.49,7.5,8.22,NA,NA,CCOC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OCC)C=CC=C1
4.38,NA,NA,NA,NA,COP(=S)(OC)OC1=C(Cl)C=C(C)C=C1Cl
5.75,NA,NA,0.08,NA,CN(C(=S)OC1=CC2=CC=CC=C2C=C1)C3=CC=CC(C)=C3
1.82,NA,NA,-4.5,-5.69,COC1=CC=CC=C1/C=C/C=O
3.28,13.18,NA,1.97,-3.59,CC(C)(C)C(O)C(OC1=CC=C(Cl)C=C1)N2C=NC=N2
4.18,NA,NA,-6.48,-6.98,C=CCOC(=O)C1=CC=C(C(=O)OCC=C)C(=C1)C(=O)OCC=C
0.24,11.75,13.42,-3.32,-3.33,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO
1.94,13.4,14.02,-3.33,-3.39,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
1.11,15.88,18.53,1.86,-3.78,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C3=CC=CC=C3
3.45,NA,NA,-2.44,NA,CCOP(=S)(OCC)OC1=NN(C=N1)C2=CC=CC=C2
5.36,NA,NA,8.41,NA,C(N(CC1=CC=CC=C1)CC2=CC=CC=C2)C3=CC=CC=C3
4.93,11.42,18.11,-4.62,NA,ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1
4.13,NA,NA,-3.4,-4.23,CCCCOCCOC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=N1
3.69,NA,NA,-3.85,-4.5,O=C(OCCOCCOCCOC(=O)C1=CC=CC=C1)C2=CC=CC=C2
4.8,NA,NA,2.37,-0.42,CON=C(C(=O)OC)C1=C(CON=C(C)C2=CC(=CC=C2)C(F)(F)F)C=CC=C1
4.76,9.95,16.38,-5.27,-8.02,FC(F)(F)OC1=CC=C(NC(=O)NC(=O)C2=CC=CC=C2Cl)C=C1
1.98,NA,NA,-6.46,-6.96,COC(=O)C1=CC=C(C(=O)OC)C(=C1)C(=O)OC
5.09,NA,NA,-9.4,NA,O=P(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3
4.76,NA,NA,-7.45,NA,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
3.94,NA,NA,-3.66,-4.14,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
2.73,8.27,NA,6.22,4.59,CCCOC1=C(C=C(C=C1)S(=O)(=O)N2CCN(CC)CC2)C3=NC4=C(CC)N(CC5=CC=CC=N5)N=C4C(=O)N3
2.74,14.42,NA,8.91,-3.05,COC1=CC=C(C=C1)C(CN(C)C)C2(O)CCCCC2
3.39,10.52,NA,6.7,-4.76,CC[C@@]12CCCN3CCC4=C([C@H]13)N(C5=C4C=CC=C5)[C@](O)(C2)C(=O)OC
3.59,13.95,NA,8.75,-3.26,COC1=C(OC)C(=CC=C1)[C@H](O)C2CCN(CCC3=CC=C(F)C=C3)CC2
2.74,5.56,19.52,-6.9,-6.93,CC(=O)CC(C1=CC=CC=C1)C2=C(O)C3=CC=CC=C3OC2=O
4.19,NA,NA,-9.16,NA,COP(=O)(OC)O/C(=C\Cl)/C1=C(Cl)C=C(Cl)C(Cl)=C1
5.75,NA,NA,8.54,-5.13,C(CC1=CC2=C(OCO2)C=C1)N3CCC[C@H](C3)OC(C4=CC=CC=C4)C5=CC=CC=C5
0.72,3.94,9.04,-6.05,-6.05,OC(=O)C1=CC(O)=C(O)C(O)=C1
1.49,8.73,9.51,-3.29,-4.92,O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C3=CC(O)=C(O)C(O)=C3
1.49,8.73,9.51,-3.29,-4.92,O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C3=CC(O)=C(O)C(O)=C3
1.8,9,9.62,-3.29,-4.92,O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C3=CC=C(O)C(O)=C3
1.8,9,9.62,-3.29,-4.92,O[C@@H]1CC2=C(O)C=C(O)C=C2OC1C3=CC=C(O)C(O)=C3
3.08,7.99,8.72,-5.42,-5.47,OC1=CC(O)=C2C[C@@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@H](OC2=C1)C4=CC(O)=C(O)C(O)=C4
3.08,7.99,8.72,-5.42,-5.47,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
3.38,8.03,8.9,-4.92,-5.42,OC1=CC(O)=C2C[C@H](OC(=O)C3=CC(O)=C(O)C(O)=C3)[C@@H](OC2=C1)C4=CC=C(O)C(O)=C4
5.37,4.95,NA,NA,NA,CCCCCCCCCCCCCC(O)=O
6.26,4.95,NA,NA,NA,CCCCCCCCCCCCCCCC(O)=O
6.06,4.99,NA,NA,NA,CC/C=C/C/C=C/C/C=C/CCCCCCCC(O)=O
6.42,4.99,NA,NA,NA,CCCCC/C=C\C/C=C\CCCCCCCC(O)=O
6.78,4.99,NA,NA,NA,CCCCCCCC/C=C\CCCCCCCC(O)=O
7.15,4.95,NA,NA,NA,CCCCCCCCCCCCCCCCCC(O)=O
8.03,4.95,NA,NA,NA,CCCCCCCCCCCCCCCCCCCC(O)=O
7.67,4.99,NA,NA,NA,CCCCCCCCCC/C=C\CCCCCCCC(O)=O
8.48,4.95,NA,NA,NA,CCCCCCCCCCCCCCCCCCCCC(O)=O
8.92,4.95,NA,NA,NA,CCCCCCCCCCCCCCCCCCCCCC(O)=O
9.37,4.95,NA,NA,NA,CCCCCCCCCCCCCCCCCCCCCCC(O)=O
9.81,4.95,NA,NA,NA,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O
10.26,4.95,NA,NA,NA,CCCCCCCCCCCCCCCCCCCCCCCCC(O)=O
10.7,4.95,NA,NA,NA,CCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O
-2.84,2.47,NA,9.48,NA,C[C@H](N)C(O)=O
-3.17,4.08,NA,10.31,NA,NCCC(O)=O
-2.89,4.53,NA,10.22,NA,NCCCC(O)=O
-0.7,14.46,NA,9.58,6.24,NCCC1=CNC=N1
-1.46,10.33,18.41,7.72,-8.15,CN1CC(=O)N=C1N
-1.95,2.72,NA,9.6,NA,CC(C)[C@H](N)C(O)=O
-3.47,2.21,14.95,9,-2.94,C[C@@H](O)[C@H](N)C(O)=O
-0.39,13.39,NA,3.63,-1.95,NC(=O)C1=CC=CN=C1
-0.17,2.79,NA,4.19,NA,OC(=O)C1=CC=CN=C1
-1.59,2.79,NA,9.52,NA,CC(C)C[C@H](N)C(O)=O
-1.51,2.79,NA,9.59,NA,CC[C@H](C)[C@H](N)C(O)=O
-4.29,2,16.09,8.43,-2.92,N[C@@H](CC(N)=O)C(O)=O
-3.5,1.7,5.11,9.61,NA,N[C@@H](CC(O)=O)C(O)=O
-0.57,10.29,NA,3.66,-2.27,NC=1N=CN=C2N=CNC12
-2.58,2.46,10.28,9.41,NA,N[C@@H](CCS)C(O)=O
0.8,4.77,NA,2.69,NA,O=C(O)C1=CC=C(N)C=C1
0.68,10.41,NA,9.66,-5.45,NCCC1=CC=C(O)C=C1
-4,2.15,16.24,9.31,-1.63,N[C@@H](CCC(N)=O)C(O)=O
-3.21,2.74,NA,10.29,9.44,NCCCC[C@H](N)C(O)=O
-3.24,1.88,4.27,9.54,NA,N[C@@H](CCC(O)=O)C(O)=O
-2.19,2.53,NA,9.5,NA,CSCC[C@H](N)C(O)=O
-1.11,8.3,11.4,1.49,-2.85,NC1=NC=2N=CNC2C(=O)N1
0.03,10.01,12.93,9.27,-6.25,NCCC1=CC=C(O)C(O)=C1
-3.29,1.85,13.1,9.25,6.14,N[C@@H](CC1=CNC=N1)C(O)=O
-3.38,3.73,13.82,8.39,-4.48,CC(N)C(=O)NC(C)C(O)=O
1.49,17.17,NA,9.73,NA,NCCC1=CNC2=CC=CC=C12
-4.89,4.2,13.52,-3.57,NA,C[N+](C)(C)C[C@H](O)CC([O-])=O
-1.18,2.47,NA,9.45,NA,N[C@@H](CC1=CC=CC=C1)C(O)=O
-3.16,2.41,NA,12.41,9.12,N[C@@H](CCCNC(N)=N)C(O)=O
0.48,9.31,18.22,10,-5.51,NCCC1=CNC2=CC=C(O)C=C12
-4.46,1.55,NA,8.69,NA,CS(=O)(=O)CCC(N)C(O)=O
-1.49,2.01,9.56,8.88,-6,OC1=CC=CC=C1CC(N)C(=O)O
-1.49,2,9.75,9.14,-5.96,OC1=CC(CC(N)C(=O)O)=CC=C1
-1.49,2,9.79,9.19,-5.96,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
-1.79,1.65,9.69,9.06,-6.29,N[C@@H](CC1=CC=C(O)C(O)=C1)C(O)=O
-4.45,4.09,NA,-7.02,NA,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C
-1.09,2.54,16.16,9.4,NA,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O
-0.89,1.56,7.92,9.47,-6.73,N[C@@H](CC1=CC=C(O)C(Cl)=C1)C(O)=O
-1.39,2.15,9.8,9.18,-5.51,N[C@@H](CC1=CNC2=CC=C(O)C=C12)C(O)=O
-5.82,1.79,2.51,9.66,8.98,N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O
-1.55,1.1,6.69,9.46,-6.73,N[C@@H](CC1=CC=C(O)C(=C1)[N+]([O-])=O)C(O)=O
0.43,14.08,15.95,9.67,-2.67,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
-2.09,12.45,13.89,3.94,-1.05,NC1=NC=NC=2N(C=NC12)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O
1.76,14.09,NA,9.67,-3.2,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
-2.71,10.16,12.46,0.55,-2.54,NC1=NC=2N(C=NC2C(=O)N1)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O
-10.11,1.44,2.03,9.61,9.01,NC(CCC(=O)NC(CSSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O
2.51,13.89,NA,9.05,4.02,COC1=CC=C2N=CC=C([C@@H](O)[C@@H]3C[C@H]4CCN3C[C@@H]4C=C)C2=C1
-3.59,2.05,5.47,6.17,-3.1,CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)C4=C(O)C=CC=C4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)/C(=C(/N)\O)/C1=O
11.99,1.89,13.64,-2.97,-3.39,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC/C=C\CCCCCCCC
4.99,1.89,11.71,-2.97,-3.39,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC(O)CO)OO
11.51,1.87,NA,10,-6.74,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC
7.09,1.88,13.57,10,-1.05,CCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)(O)OCCN)NC(=O)CCCCCCCCCCC)O
4.51,1.87,11.72,9.99,-4.24,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCCN)OO
9.17,1.86,NA,-6.74,-7.35,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC
7.5,1.87,13.51,-1.05,-3.17,CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CCCCCCC/C=C\CCCCCCCC)O
2.17,1.85,11.71,-4.24,-5.09,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(O)(=O)OCC[N+](C)(C)C)OO
5.04,NA,NA,9.68,-4.38,COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC
-1.94,15.15,NA,-2.74,-4.3,CCCC[N+]1(C)[C@H]2CC(C[C@H]1[C@@H]3O[C@H]23)OC(=O)C(CO)C4=CC=CC=C4
0.81,NA,NA,4.32,0.41,CC1=CC2=NC3=CC(C)=C(N)C=C3[N+](C4=CC=CC=C4)=C2C=C1N
1.57,-1.8,19.38,-0.83,NA,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OS(O)(=O)=O)=C4)[C@@H]1CC[C@H]2O
6.35,NA,NA,8.76,-7.17,CC/C(/C1=CC=CC=C1)=C(\C2=CC=CC=C2)/C3=CC=C(OCCN(C)C)C=C3
0.9,10.26,13.78,9.12,-3.33,CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2C=C[C@@H]4O)=C35
2.33,14.06,17.84,9.63,1.4,CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1
4.14,5,NA,NA,NA,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3
2.52,4.25,9.71,7,-2.94,CC(C)C[C@@H]1N2C(=O)[C@](O[C@]2(O)[C@@H]3CCCN3C1=O)(N=C(O)[C@H]4CN(C)[C@@H]5CC6=C(Br)NC7=CC=CC(=C67)C5=C4)C(C)C
-2.98,2.87,10.25,9.12,-3.69,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O
-8.39,NA,NA,-6.75,-7.37,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
-3.08,-1.52,2.87,3.91,-2.13,C[C@H]1[C@H](NC(=O)\C(=N/OC(C)(C)C(O)=O)\C2=CSC(N)=N2)C(=O)N1S(O)(=O)=O
1.75,4.25,9.83,-1.52,-2.91,NS(=O)(=O)C1=CC(C(O)=O)=C(NCC=2OC=CC2)C=C1Cl
3.83,4.73,9.29,-5.97,NA,CCCCC1C(=O)N(N(C1=O)C2=CC=C(O)C=C2)C3=CC=CC=C3
0.76,2.03,NA,-9.68,NA,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O
4.43,13.85,15.58,-3.3,-5.29,O=C(OCC(=O)[C@]1(OC(=O)CC)[C@]2(C[C@H](O)[C@]3(Cl)[C@@]\4(/C(=C\C(=O)/C=C4)/CC[C@H]3[C@@H]2C[C@@H]1C)C)C)CC
-0.24,-0.88,15.4,-0.05,-0.51,C[C@H](CCC(=O)NCCS(O)(=O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
2.99,4.19,NA,-4.83,NA,COC1=CC=C2C=C(C=CC2=C1)C(C)C(O)=O
5.62,3.87,10.38,-4.43,-6.79,CCC(=O)OC(OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2C[C@@H](C[C@H]2C(O)=O)C3CCCCC3)C(C)C
1.68,12.42,13.48,-3.33,-3.39,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
1.91,3.63,12.23,-3.69,-3.73,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O)C(O)=O
-0.66,7.18,12.01,-7.97,NA,FC1=CNC(=O)NC1=O
2.54,12.24,NA,2.65,-2.01,BrC1=CC=C2NC(=O)CN=C(C3=CC=CC=N3)C2=C1
3.54,11.9,12.78,-1.18,-3.05,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)C4=CC=CC=C4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C6=CC=CC=C6)C7=CC=CC=C7)C(=C1C5(C)C)C
3.9,14.91,NA,-2.84,-6.77,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
-10.63,11.56,11.94,-3.69,-3.69,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O
2.6,12.45,12.92,9,-3.23,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
3.64,11.83,12.23,-2.39,-3.01,CCC1NC(=O)C([C@H](O)[C@H](C)C/C=C/C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
1.3,11.69,NA,4.28,-6.68,CCC1(CCC(=O)NC1=O)C2=CC=C(N)C=C2
1.69,9.95,NA,-5.39,NA,CCC(C)N1C(=O)NC(=C(Br)C1=O)C
-0.55,NA,NA,-1.16,-9.41,CN1C=NC=2N(C)C(=O)N(C)C(=O)C12
2.46,14.77,NA,NA,NA,CNC(=O)OC1=CC=CC2=CC=CC=C12
2.05,14.76,NA,-4.95,NA,CNC(=O)OC1=CC=CC=2CC(C)(C)OC12
3.76,NA,NA,9.78,-4.27,CN(C)CCCC1(OCC2=CC(=CC=C12)C#N)C3=CC=C(F)C=C3
4.19,NA,NA,4.19,-2.07,CCOP(=S)(OCC)OC1=CC(C)=NC(=N1)C(C)C
4.26,4,16.4,-2.08,NA,OC(=O)CC1=CC=CC=C1NC2=C(Cl)C=CC=C2Cl
0.64,14.85,NA,-1.16,-1.78,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC=C(N3CCOCC3)C(F)=C2
0.72,14,NA,0.69,NA,CNC(=O)O/N=C(\C)/SC
3.21,NA,NA,6.67,5.36,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CN=C24
4.65,NA,NA,7.09,-0.6,ClC1=CC=CC(N2CCN(CCCN3/N=C(\N(C3=O)CCOC4=CC=CC=C4)/CC)CC2)=C1
2.06,9.54,13.71,8.64,-3.24,C[C@@H]([C@@H](O)C1=CC=C(O)C=C1)N2CCC(O)(CC2)C3=CC=CC=C3
2.82,10.06,NA,0.42,-8.55,CC=1ON=C(C2=CC=CC=C2)C1C3=CC=C(C=C3)S(N)(=O)=O
1.53,NA,NA,0.28,-3.59,CCN(C(C)=O)C1=CC=CC(=C1)C2=CC=NC=3N2N=CC3C#N
2.01,8.84,NA,-5.49,-8.4,CC(N(O)C(N)=O)C=1SC2=CC=CC=C2C1
3.33,3.83,NA,-7.79,NA,CN1C(CC(O)=O)=CC(C)=C1C(=O)C2=CC=C(Cl)C=C2
0.11,9.84,NA,-1.75,NA,NS(=O)(=O)CC1=NOC2=CC=CC=C12
-1.03,11.98,15.12,3.02,-0.05,NC1=NC(=O)C=2N=CN(COCCO)C2N1
1.02,13.73,15.26,9.04,-1.29,CCN(CC)CCNC(=O)C1=CC=C(C=C1)NC(=O)C
1.57,15.15,NA,9.39,-2.74,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
4.04,NA,NA,8.88,-2,CN1CCCC(CC1)N2N=C(CC3=CC=C(Cl)C=C3)C4=CC=CC=C4C2=O
1.04,12.41,13.08,7.55,-2.64,CCC[C@@H]1C[C@H](N(C)C1)C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O
0.64,5.45,NA,6.48,-5.04,CN1CCN(CC1)C2=C(F)C=C3C(=O)C(=CN(CCF)C3=C2F)C(O)=O
1.16,14.81,NA,8.58,-2.88,CN1CC[C@@]23C=C[C@@H](C[C@@H]2OC4=C(C=CC(=C34)C1)OC)O
4.22,12.78,NA,9.55,3.88,C[C@@H]1CCC[C@@H](N1CCCC(C2=CC=CC=C2)(C3=CC=CC=N3)O)C
2.45,13.8,NA,9.23,-3.33,CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O
-0.22,14.71,NA,9.03,-2.93,OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N4CCC[C@H]4C#N
-0.92,10.17,NA,0.51,-3,CN1C=NC=2C(=O)NC(=NC12)N
1.05,10,16.47,4.47,-5.54,CC(=O)C1=CC(N)=CC=C1O
0.43,-2.16,14.65,-4.39,NA,CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O
-1.04,3.17,12.22,-3.69,-3.73,CC(=O)NC1=CC=C(C=C1)O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(=O)O
-0.29,2.02,15.48,5.87,-6.63,NC1=CC=C(O)C(=C1)C(O)=O
1.21,2.62,13.25,-4.38,-6.27,CC(=O)NC1=CC(=C(C=C1)O)C(=O)O
1.04,NA,NA,9.81,NA,CN1CCCCC1
-4.35,3.28,15,9.39,-2.8,O=C1N2/C(=C(/S[C@H]3C[C@@H](C(=O)N(C)C)NC3)\[C@H](C)[C@@H]2[C@H]1[C@H](O)C)/C(=O)O
4.49,NA,NA,10.56,NA,C1CCN(CC1)C2(CCCCC2)C3=CC=CC=C3
0.95,15.75,NA,9.04,3.32,O=C(C1=CC=C(N)C=C1)NCCN(CC)CC
1.78,NA,NA,-6.94,NA,O=C1OC2=CC=CC=C2C=C1
1.48,7.84,NA,-6.94,-7.21,OC1=CC=C2C=CC(=O)OC2=C1
-0.47,2.98,12.22,-3.69,-3.73,O=C(O)[C@H]1O[C@@H](OC2=CC=3OC(=O)C=CC3C=C2)[C@H](O)[C@@H](O)[C@@H]1O
1.78,7.8,NA,-6.95,-7.21,CC1=CC(=O)OC2=CC(O)=CC=C12
-0.17,2.97,12.22,-3.69,-3.73,O=C(O)[C@H]1O[C@@H](OC2=CC=3OC(=O)C=C(C)C3C=C2)[C@H](O)[C@@H](O)[C@@H]1O
2.15,NA,NA,11.32,8.24,C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N
-1.04,4.02,NA,10.26,-4.34,NC(=N)NC1=CC=C(C=C1)C(O)=O
0.02,NA,NA,5.62,-1.58,C1=CC(=C(N)N)C=C2C1=CC(=O)C=C2
4.35,9.16,9.76,-5.96,-5.96,OC1=CC=C(C=C1)C2(OC(=O)C3=CC=CC=C23)C4=CC=C(O)C=C4
2.41,3.2,9.46,-3.69,-3.73,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O
3.52,18.87,NA,10.08,7.47,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=CC=C(Cl)C=C4N2
3.77,13.79,NA,8.45,7.2,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=CC=C(Cl)C=C4N2O
3.02,15.9,NA,8.83,3.94,ClC1=CC=C2NC3=CC=CC=C3\C(=N/C2=C1)\N4CCNCC4
1.08,NA,NA,0.91,NA,C1=CC(=CC=C1N)N(=O)=O
0.82,14.56,NA,-0.36,NA,NC(=O)C1=CC=CC=C1
3.41,NA,NA,0.78,NA,N(C1=CC=CC=C1)C2=CC=CC=C2
0.67,14.63,NA,-0.21,-5.07,COC1=CC=C(C=C1)C(N)=O
-1.24,9.98,19.85,4.76,NA,NC1=NC(=O)NC=C1
1.8,NA,NA,4.91,NA,CCNC1=CC=CC=C1
0.99,NA,NA,4.42,-7.46,COC1=CC=CC=C1N
0.99,NA,NA,5.11,-6.72,COC1=CC=C(N)C=C1
1.96,NA,NA,3.3,0.7,C1=CC=C(N=C1)C2=CC=CC=N2
-0.63,18.85,NA,1.87,-6.67,CC1=CN=NN=C1N
1.1,NA,NA,9.3,NA,NCC1=CC=CC=C1
-1.88,15.12,15.59,8.44,-2.54,OCCN(CCO)CCO
